Year,Sector,Sex,Age group,Labour force value
1988,Mining & petroleum development,Females,25 to 54 years,13.3
1988,Mining & petroleum development,Females,55 years and over,0.0
1988,Mining & petroleum development,Males,15 to 24 years,7.1
1988,Mining & petroleum development,Males,15 years and over,61.3
1988,Mining & petroleum development,Males,25 to 54 years,50.2
1988,Mining & petroleum development,Males,55 years and over,4.0
1988,"Provincial & municipal government, education & health",Both sexes,15 to 24 years,39.0
1988,"Provincial & municipal government, education & health",Both sexes,15 years and over,289.4
1988,"Provincial & municipal government, education & health",Both sexes,25 to 54 years,227.10000000000002
1988,"Provincial & municipal government, education & health",Both sexes,55 years and over,23.5
1988,"Provincial & municipal government, education & health",Females,15 to 24 years,27.9
1988,"Provincial & municipal government, education & health",Females,15 years and over,185.4
1988,"Provincial & municipal government, education & health",Females,25 to 54 years,146.20000000000002
1988,"Provincial & municipal government, education & health",Females,55 years and over,11.399999999999999
1988,"Provincial & municipal government, education & health",Males,15 to 24 years,11.0
1988,"Provincial & municipal government, education & health",Males,15 years and over,104.0
1988,"Provincial & municipal government, education & health",Males,25 to 54 years,80.89999999999999
1988,"Provincial & municipal government, education & health",Males,55 years and over,12.1
1988,"Transportation, communication & utilities",Both sexes,15 to 24 years,9.6
1988,"Transportation, communication & utilities",Both sexes,15 years and over,82.9
1988,"Transportation, communication & utilities",Both sexes,25 to 54 years,66.9
1988,"Transportation, communication & utilities",Both sexes,55 years and over,5.2
1988,"Transportation, communication & utilities",Females,15 to 24 years,1.9
1988,"Transportation, communication & utilities",Females,15 years and over,18.5
1988,"Transportation, communication & utilities",Females,25 to 54 years,15.200000000000001
1988,"Transportation, communication & utilities",Females,55 years and over,0.0
1988,"Transportation, communication & utilities",Males,15 to 24 years,6.2
1988,"Transportation, communication & utilities",Males,15 years and over,64.4
1988,"Transportation, communication & utilities",Males,25 to 54 years,51.699999999999996
1988,"Transportation, communication & utilities",Males,55 years and over,4.4
1988,Wholesale and retail,Both sexes,15 to 24 years,69.5
1988,Wholesale and retail,Both sexes,15 years and over,210.9
1988,Wholesale and retail,Both sexes,25 to 54 years,124.4
1988,Wholesale and retail,Both sexes,55 years and over,17.0
1988,Wholesale and retail,Females,15 to 24 years,35.8
1988,Wholesale and retail,Females,15 years and over,101.6
1988,Wholesale and retail,Females,25 to 54 years,57.4
1988,Wholesale and retail,Females,55 years and over,8.4
1988,Wholesale and retail,Males,15 to 24 years,33.7
1988,Wholesale and retail,Males,15 years and over,109.3
1988,Wholesale and retail,Males,25 to 54 years,67.1
1988,Wholesale and retail,Males,55 years and over,8.6
1989,Agriculture & forestry,Both sexes,15 to 24 years,13.4
1989,Agriculture & forestry,Both sexes,15 years and over,95.5
1989,Agriculture & forestry,Both sexes,25 to 54 years,55.9
1989,Agriculture & forestry,Both sexes,55 years and over,25.0
1989,Agriculture & forestry,Females,15 to 24 years,2.4
1989,Agriculture & forestry,Females,15 years and over,26.9
1989,Agriculture & forestry,Females,25 to 54 years,18.1
1989,Agriculture & forestry,Females,55 years and over,6.3
1989,Agriculture & forestry,Males,15 to 24 years,11.0
1989,Agriculture & forestry,Males,15 years and over,68.0
1989,Agriculture & forestry,Males,25 to 54 years,37.1
1989,Agriculture & forestry,Males,55 years and over,18.7
1989,Business & professional services,Both sexes,15 to 24 years,96.7
1989,Business & professional services,Both sexes,15 years and over,361.9
1989,Business & professional services,Both sexes,25 to 54 years,238.1
1989,Business & professional services,Both sexes,55 years and over,26.8
1989,Business & professional services,Females,15 to 24 years,54.5
1989,Business & professional services,Females,15 years and over,191.7
1989,Business & professional services,Females,25 to 54 years,126.4
1989,Business & professional services,Females,55 years and over,8.6
1989,Business & professional services,Males,15 to 24 years,42.199999999999996
1989,Business & professional services,Males,15 years and over,170.1
1989,Business & professional services,Males,25 to 54 years,111.6
1989,Business & professional services,Males,55 years and over,16.2
1989,Construction & construction trades,Both sexes,15 to 24 years,14.8
1989,Construction & construction trades,Both sexes,15 years and over,93.0
1989,Construction & construction trades,Both sexes,25 to 54 years,71.4
1989,Construction & construction trades,Both sexes,55 years and over,6.9
1989,Construction & construction trades,Females,15 to 24 years,1.7
1989,Construction & construction trades,Females,15 years and over,10.0
1989,Construction & construction trades,Females,25 to 54 years,7.9
1989,Construction & construction trades,Females,55 years and over,0.0
1989,Construction & construction trades,Males,15 to 24 years,13.1
1989,Construction & construction trades,Males,15 years and over,83.0
1989,Construction & construction trades,Males,25 to 54 years,63.5
1989,Construction & construction trades,Males,55 years and over,6.5
1989,"Manufacturing, packaging & processing",Both sexes,15 to 24 years,17.3
1989,"Manufacturing, packaging & processing",Both sexes,15 years and over,105.0
1989,"Manufacturing, packaging & processing",Both sexes,25 to 54 years,79.6
1989,"Manufacturing, packaging & processing",Both sexes,55 years and over,8.2
1989,"Manufacturing, packaging & processing",Females,15 to 24 years,3.2
1989,"Manufacturing, packaging & processing",Females,15 years and over,24.6
1989,"Manufacturing, packaging & processing",Females,25 to 54 years,19.9
1989,"Manufacturing, packaging & processing",Females,55 years and over,1.5
1989,"Manufacturing, packaging & processing",Males,15 to 24 years,14.1
1989,"Manufacturing, packaging & processing",Males,15 years and over,80.4
1989,"Manufacturing, packaging & processing",Males,25 to 54 years,59.7
1989,"Manufacturing, packaging & processing",Males,55 years and over,6.6
1989,Mining & petroleum development,Both sexes,15 to 24 years,9.9
1989,Mining & petroleum development,Both sexes,15 years and over,73.4
1989,Mining & petroleum development,Both sexes,25 to 54 years,59.0
1989,Mining & petroleum development,Both sexes,55 years and over,4.4
1989,Mining & petroleum development,Females,15 to 24 years,2.7
1989,Mining & petroleum development,Females,15 years and over,13.8
1989,Mining & petroleum development,Females,25 to 54 years,10.5
1989,Mining & petroleum development,Females,55 years and over,0.0
1989,Mining & petroleum development,Males,15 to 24 years,7.2
1989,Mining & petroleum development,Males,15 years and over,59.5
1989,Mining & petroleum development,Males,25 to 54 years,48.5
1989,Mining & petroleum development,Males,55 years and over,3.9
1989,"Provincial & municipal government, education & health",Both sexes,15 to 24 years,41.3
1989,"Provincial & municipal government, education & health",Both sexes,15 years and over,302.8
1989,"Provincial & municipal government, education & health",Both sexes,25 to 54 years,237.8
1989,"Provincial & municipal government, education & health",Both sexes,55 years and over,23.700000000000003
1989,"Provincial & municipal government, education & health",Females,15 to 24 years,30.0
1989,"Provincial & municipal government, education & health",Females,15 years and over,195.0
1989,"Provincial & municipal government, education & health",Females,25 to 54 years,152.1
1989,"Provincial & municipal government, education & health",Females,55 years and over,13.0
1989,"Provincial & municipal government, education & health",Males,15 to 24 years,11.2
1989,"Provincial & municipal government, education & health",Males,15 years and over,107.7
1989,"Provincial & municipal government, education & health",Males,25 to 54 years,85.7
1989,"Provincial & municipal government, education & health",Males,55 years and over,10.7
1989,"Transportation, communication & utilities",Both sexes,15 to 24 years,8.5
1989,"Transportation, communication & utilities",Both sexes,15 years and over,83.10000000000001
1989,"Transportation, communication & utilities",Both sexes,25 to 54 years,65.8
1989,"Transportation, communication & utilities",Both sexes,55 years and over,6.2
1989,"Transportation, communication & utilities",Females,15 to 24 years,2.2
1989,"Transportation, communication & utilities",Females,15 years and over,20.9
1989,"Transportation, communication & utilities",Females,25 to 54 years,16.8
1989,"Transportation, communication & utilities",Females,55 years and over,0.0
1989,"Transportation, communication & utilities",Males,15 to 24 years,6.3
1989,"Transportation, communication & utilities",Males,15 years and over,62.099999999999994
1989,"Transportation, communication & utilities",Males,25 to 54 years,49.0
1989,"Transportation, communication & utilities",Males,55 years and over,4.8
1989,Wholesale and retail,Both sexes,15 to 24 years,67.0
1989,Wholesale and retail,Both sexes,15 years and over,214.2
1989,Wholesale and retail,Both sexes,25 to 54 years,130.7
1989,Wholesale and retail,Both sexes,55 years and over,16.5
1989,Wholesale and retail,Females,15 to 24 years,33.3
1989,Wholesale and retail,Females,15 years and over,100.8
1989,Wholesale and retail,Females,25 to 54 years,59.5
1989,Wholesale and retail,Females,55 years and over,7.9
1989,Wholesale and retail,Males,15 to 24 years,33.7
1989,Wholesale and retail,Males,15 years and over,113.4
1989,Wholesale and retail,Males,25 to 54 years,71.1
1989,Wholesale and retail,Males,55 years and over,8.6
1990,Agriculture & forestry,Both sexes,15 to 24 years,13.3
1990,Agriculture & forestry,Both sexes,15 years and over,98.5
1990,Agriculture & forestry,Both sexes,25 to 54 years,56.099999999999994
1990,Agriculture & forestry,Both sexes,55 years and over,27.9
1990,Agriculture & forestry,Females,15 to 24 years,2.8
1990,Agriculture & forestry,Females,15 years and over,29.8
1990,Agriculture & forestry,Females,25 to 54 years,19.7
1990,Agriculture & forestry,Females,55 years and over,7.3
1990,Agriculture & forestry,Males,15 to 24 years,10.5
1990,Agriculture & forestry,Males,15 years and over,68.2
1990,Agriculture & forestry,Males,25 to 54 years,36.2
1990,Agriculture & forestry,Males,55 years and over,20.7
1990,Business & professional services,Both sexes,15 to 24 years,94.1
1990,Business & professional services,Both sexes,15 years and over,373.6
1990,Business & professional services,Both sexes,25 to 54 years,248.2
1990,Business & professional services,Both sexes,55 years and over,31.2
1990,Business & professional services,Females,15 to 24 years,51.2
1990,Business & professional services,Females,15 years and over,194.79999999999998
1990,Business & professional services,Females,25 to 54 years,131.8
1990,Business & professional services,Females,55 years and over,11.0
1990,Business & professional services,Males,15 to 24 years,42.9
1990,Business & professional services,Males,15 years and over,178.6
1990,Business & professional services,Males,25 to 54 years,116.5
1990,Business & professional services,Males,55 years and over,17.900000000000002
1990,Construction & construction trades,Both sexes,15 to 24 years,15.8
1990,Construction & construction trades,Both sexes,15 years and over,96.4
1990,Construction & construction trades,Both sexes,25 to 54 years,73.2
1990,Construction & construction trades,Both sexes,55 years and over,7.4
1990,Construction & construction trades,Females,15 to 24 years,1.5
1990,Construction & construction trades,Females,15 years and over,8.3
1990,Construction & construction trades,Females,25 to 54 years,6.4
1990,Construction & construction trades,Females,55 years and over,0.0
1990,Construction & construction trades,Males,15 to 24 years,14.3
1990,Construction & construction trades,Males,15 years and over,88.1
1990,Construction & construction trades,Males,25 to 54 years,66.8
1990,Construction & construction trades,Males,55 years and over,6.9
1990,"Manufacturing, packaging & processing",Both sexes,15 to 24 years,16.4
1990,"Manufacturing, packaging & processing",Both sexes,15 years and over,103.1
1990,"Manufacturing, packaging & processing",Both sexes,25 to 54 years,78.8
1990,"Manufacturing, packaging & processing",Both sexes,55 years and over,7.9
1990,"Manufacturing, packaging & processing",Females,15 to 24 years,3.5
1990,"Manufacturing, packaging & processing",Females,15 years and over,24.1
1990,"Manufacturing, packaging & processing",Females,25 to 54 years,19.4
1990,"Manufacturing, packaging & processing",Females,55 years and over,0.0
1990,"Manufacturing, packaging & processing",Males,15 to 24 years,12.9
1990,"Manufacturing, packaging & processing",Males,15 years and over,79.0
1990,"Manufacturing, packaging & processing",Males,25 to 54 years,59.4
1990,"Manufacturing, packaging & processing",Males,55 years and over,6.7
1990,Mining & petroleum development,Both sexes,15 to 24 years,9.0
1990,Mining & petroleum development,Both sexes,15 years and over,75.3
1990,Mining & petroleum development,Both sexes,25 to 54 years,62.6
1990,Mining & petroleum development,Both sexes,55 years and over,3.8
1990,Mining & petroleum development,Females,15 to 24 years,1.8
1990,Mining & petroleum development,Females,15 years and over,15.5
1990,Mining & petroleum development,Females,25 to 54 years,12.9
1990,Mining & petroleum development,Females,55 years and over,0.0
1990,Mining & petroleum development,Males,15 to 24 years,7.2
1990,Mining & petroleum development,Males,15 years and over,59.9
1990,Mining & petroleum development,Males,25 to 54 years,49.6
1990,Mining & petroleum development,Males,55 years and over,3.1
1990,"Provincial & municipal government, education & health",Both sexes,15 to 24 years,38.2
1990,"Provincial & municipal government, education & health",Both sexes,15 years and over,304.1
1990,"Provincial & municipal government, education & health",Both sexes,25 to 54 years,242.6
1990,"Provincial & municipal government, education & health",Both sexes,55 years and over,23.200000000000003
1990,"Provincial & municipal government, education & health",Females,15 to 24 years,28.3
1990,"Provincial & municipal government, education & health",Females,15 years and over,199.2
1990,"Provincial & municipal government, education & health",Females,25 to 54 years,157.7
1990,"Provincial & municipal government, education & health",Females,55 years and over,13.2
1990,"Provincial & municipal government, education & health",Males,15 to 24 years,10.0
1990,"Provincial & municipal government, education & health",Males,15 years and over,105.0
1990,"Provincial & municipal government, education & health",Males,25 to 54 years,84.9
1990,"Provincial & municipal government, education & health",Males,55 years and over,10.0
1990,"Transportation, communication & utilities",Both sexes,15 to 24 years,7.9
1990,"Transportation, communication & utilities",Both sexes,15 years and over,84.60000000000001
1990,"Transportation, communication & utilities",Both sexes,25 to 54 years,68.60000000000001
1990,"Transportation, communication & utilities",Both sexes,55 years and over,6.4
1990,"Transportation, communication & utilities",Females,15 to 24 years,1.8
1990,"Transportation, communication & utilities",Females,15 years and over,21.2
1990,"Transportation, communication & utilities",Females,25 to 54 years,17.6
1990,"Transportation, communication & utilities",Females,55 years and over,0.0
1990,"Transportation, communication & utilities",Males,15 to 24 years,6.0
1990,"Transportation, communication & utilities",Males,15 years and over,63.400000000000006
1990,"Transportation, communication & utilities",Males,25 to 54 years,50.900000000000006
1990,"Transportation, communication & utilities",Males,55 years and over,5.0
1990,Wholesale and retail,Both sexes,15 to 24 years,68.6
1990,Wholesale and retail,Both sexes,15 years and over,219.1
1990,Wholesale and retail,Both sexes,25 to 54 years,135.2
1990,Wholesale and retail,Both sexes,55 years and over,15.3
1990,Wholesale and retail,Females,15 to 24 years,34.8
1990,Wholesale and retail,Females,15 years and over,103.5
1990,Wholesale and retail,Females,25 to 54 years,61.1
1990,Wholesale and retail,Females,55 years and over,7.7
1990,Wholesale and retail,Males,15 to 24 years,33.9
1990,Wholesale and retail,Males,15 years and over,115.5
1990,Wholesale and retail,Males,25 to 54 years,74.1
1990,Wholesale and retail,Males,55 years and over,7.6
1991,Agriculture & forestry,Both sexes,15 to 24 years,14.3
1991,Agriculture & forestry,Both sexes,15 years and over,101.39999999999999
1991,Agriculture & forestry,Both sexes,25 to 54 years,58.0
1991,Agriculture & forestry,Both sexes,55 years and over,27.6
1991,Agriculture & forestry,Females,15 to 24 years,3.3
1991,Agriculture & forestry,Females,15 years and over,30.9
1991,Agriculture & forestry,Females,25 to 54 years,20.3
1991,Agriculture & forestry,Females,55 years and over,7.3
1991,Agriculture & forestry,Males,15 to 24 years,11.0
1991,Agriculture & forestry,Males,15 years and over,70.0
1991,Agriculture & forestry,Males,25 to 54 years,37.3
1991,Agriculture & forestry,Males,55 years and over,20.3
1991,Business & professional services,Both sexes,15 to 24 years,98.0
1991,Business & professional services,Both sexes,15 years and over,386.4
1991,Business & professional services,Both sexes,25 to 54 years,256.8
1991,Business & professional services,Both sexes,55 years and over,32.0
1991,Business & professional services,Females,15 to 24 years,52.599999999999994
1991,Business & professional services,Females,15 years and over,203.9
1991,Business & professional services,Females,25 to 54 years,138.70000000000002
1991,Business & professional services,Females,55 years and over,10.5
1991,Business & professional services,Males,15 to 24 years,45.4
1991,Business & professional services,Males,15 years and over,182.5
1991,Business & professional services,Males,25 to 54 years,118.0
1991,Business & professional services,Males,55 years and over,19.4
1991,Construction & construction trades,Both sexes,15 to 24 years,16.4
1991,Construction & construction trades,Both sexes,15 years and over,98.8
1991,Construction & construction trades,Both sexes,25 to 54 years,75.0
1991,Construction & construction trades,Both sexes,55 years and over,7.3
1991,Construction & construction trades,Females,15 to 24 years,0.0
1991,Construction & construction trades,Females,15 years and over,10.0
1991,Construction & construction trades,Females,25 to 54 years,8.5
1991,Construction & construction trades,Females,55 years and over,0.0
1991,Construction & construction trades,Males,15 to 24 years,15.4
1991,Construction & construction trades,Males,15 years and over,88.8
1991,Construction & construction trades,Males,25 to 54 years,66.5
1991,Construction & construction trades,Males,55 years and over,6.8
1991,"Manufacturing, packaging & processing",Both sexes,15 to 24 years,16.3
1991,"Manufacturing, packaging & processing",Both sexes,15 years and over,99.0
1991,"Manufacturing, packaging & processing",Both sexes,25 to 54 years,75.3
1991,"Manufacturing, packaging & processing",Both sexes,55 years and over,7.5
1991,"Manufacturing, packaging & processing",Females,15 to 24 years,3.8
1991,"Manufacturing, packaging & processing",Females,15 years and over,23.3
1991,"Manufacturing, packaging & processing",Females,25 to 54 years,17.8
1991,"Manufacturing, packaging & processing",Females,55 years and over,1.7
1991,"Manufacturing, packaging & processing",Males,15 to 24 years,12.5
1991,"Manufacturing, packaging & processing",Males,15 years and over,75.7
1991,"Manufacturing, packaging & processing",Males,25 to 54 years,57.5
1991,"Manufacturing, packaging & processing",Males,55 years and over,5.8
1991,Mining & petroleum development,Both sexes,15 to 24 years,8.9
1991,Mining & petroleum development,Both sexes,15 years and over,78.1
1991,Mining & petroleum development,Both sexes,25 to 54 years,65.0
1991,Mining & petroleum development,Both sexes,55 years and over,4.2
1991,Mining & petroleum development,Females,15 to 24 years,1.8
1991,Mining & petroleum development,Females,15 years and over,15.6
1991,Mining & petroleum development,Females,25 to 54 years,13.2
1991,Mining & petroleum development,Females,55 years and over,0.0
1991,Mining & petroleum development,Males,15 to 24 years,7.1
1991,Mining & petroleum development,Males,15 years and over,62.5
1991,Mining & petroleum development,Males,25 to 54 years,51.8
1991,Mining & petroleum development,Males,55 years and over,3.6
1991,"Provincial & municipal government, education & health",Both sexes,15 to 24 years,35.6
1991,"Provincial & municipal government, education & health",Both sexes,15 years and over,311.3
1991,"Provincial & municipal government, education & health",Both sexes,25 to 54 years,249.6
1991,"Provincial & municipal government, education & health",Both sexes,55 years and over,26.2
1991,"Provincial & municipal government, education & health",Females,15 to 24 years,27.3
1991,"Provincial & municipal government, education & health",Females,15 years and over,200.8
1991,"Provincial & municipal government, education & health",Females,25 to 54 years,159.0
1991,"Provincial & municipal government, education & health",Females,55 years and over,14.400000000000002
1991,"Provincial & municipal government, education & health",Males,15 to 24 years,8.3
1991,"Provincial & municipal government, education & health",Males,15 years and over,110.5
1991,"Provincial & municipal government, education & health",Males,25 to 54 years,90.6
1991,"Provincial & municipal government, education & health",Males,55 years and over,11.8
1991,"Transportation, communication & utilities",Both sexes,15 to 24 years,6.4
1991,"Transportation, communication & utilities",Both sexes,15 years and over,80.2
1991,"Transportation, communication & utilities",Both sexes,25 to 54 years,66.5
1991,"Transportation, communication & utilities",Both sexes,55 years and over,5.2
1991,"Transportation, communication & utilities",Females,15 to 24 years,1.6
1991,"Transportation, communication & utilities",Females,15 years and over,18.8
1991,"Transportation, communication & utilities",Females,25 to 54 years,15.3
1991,"Transportation, communication & utilities",Females,55 years and over,0.0
1991,"Transportation, communication & utilities",Males,15 to 24 years,4.8
1991,"Transportation, communication & utilities",Males,15 years and over,61.3
1991,"Transportation, communication & utilities",Males,25 to 54 years,51.2
1991,"Transportation, communication & utilities",Males,55 years and over,3.9
1991,Wholesale and retail,Both sexes,15 to 24 years,67.2
1991,Wholesale and retail,Both sexes,15 years and over,221.6
1991,Wholesale and retail,Both sexes,25 to 54 years,137.8
1991,Wholesale and retail,Both sexes,55 years and over,16.6
1991,Wholesale and retail,Females,15 to 24 years,33.6
1991,Wholesale and retail,Females,15 years and over,105.6
1991,Wholesale and retail,Females,25 to 54 years,64.9
1991,Wholesale and retail,Females,55 years and over,7.1
1991,Wholesale and retail,Males,15 to 24 years,33.6
1991,Wholesale and retail,Males,15 years and over,116.0
1991,Wholesale and retail,Males,25 to 54 years,72.8
1991,Wholesale and retail,Males,55 years and over,9.5
1992,Agriculture & forestry,Both sexes,15 to 24 years,12.1
1992,Agriculture & forestry,Both sexes,15 years and over,101.6
1992,Agriculture & forestry,Both sexes,25 to 54 years,59.300000000000004
1992,Agriculture & forestry,Both sexes,55 years and over,28.7
1992,Agriculture & forestry,Females,15 to 24 years,2.1
1992,Agriculture & forestry,Females,15 years and over,29.5
1992,Agriculture & forestry,Females,25 to 54 years,19.0
1992,Agriculture & forestry,Females,55 years and over,8.4
1992,Agriculture & forestry,Males,15 to 24 years,10.0
1992,Agriculture & forestry,Males,15 years and over,71.5
1992,Agriculture & forestry,Males,25 to 54 years,40.0
1992,Agriculture & forestry,Males,55 years and over,20.3
1992,Business & professional services,Both sexes,15 to 24 years,101.60000000000001
1992,Business & professional services,Both sexes,15 years and over,400.2
1992,Business & professional services,Both sexes,25 to 54 years,266.2
1992,Business & professional services,Both sexes,55 years and over,32.6
1992,Business & professional services,Females,15 to 24 years,54.7
1992,Business & professional services,Females,15 years and over,205.4
1992,Business & professional services,Females,25 to 54 years,136.6
1992,Business & professional services,Females,55 years and over,11.4
1992,Business & professional services,Males,15 to 24 years,47.0
1992,Business & professional services,Males,15 years and over,194.8
1992,Business & professional services,Males,25 to 54 years,129.5
1992,Business & professional services,Males,55 years and over,18.4
1992,Construction & construction trades,Both sexes,15 to 24 years,15.2
1992,Construction & construction trades,Both sexes,15 years and over,98.7
1992,Construction & construction trades,Both sexes,25 to 54 years,76.8
1992,Construction & construction trades,Both sexes,55 years and over,6.8
1992,Construction & construction trades,Females,15 to 24 years,0.0
1992,Construction & construction trades,Females,15 years and over,10.2
1992,Construction & construction trades,Females,25 to 54 years,8.3
1992,Construction & construction trades,Females,55 years and over,0.0
1992,Construction & construction trades,Males,15 to 24 years,13.9
1992,Construction & construction trades,Males,15 years and over,88.5
1992,Construction & construction trades,Males,25 to 54 years,68.5
1992,Construction & construction trades,Males,55 years and over,6.0
1992,"Manufacturing, packaging & processing",Both sexes,15 to 24 years,15.4
1992,"Manufacturing, packaging & processing",Both sexes,15 years and over,99.3
1992,"Manufacturing, packaging & processing",Both sexes,25 to 54 years,76.4
1992,"Manufacturing, packaging & processing",Both sexes,55 years and over,7.6
1992,"Manufacturing, packaging & processing",Females,15 to 24 years,3.0
1992,"Manufacturing, packaging & processing",Females,15 years and over,22.4
1992,"Manufacturing, packaging & processing",Females,25 to 54 years,18.3
1992,"Manufacturing, packaging & processing",Females,55 years and over,0.0
1992,"Manufacturing, packaging & processing",Males,15 to 24 years,12.4
1992,"Manufacturing, packaging & processing",Males,15 years and over,76.9
1992,"Manufacturing, packaging & processing",Males,25 to 54 years,58.1
1992,"Manufacturing, packaging & processing",Males,55 years and over,6.5
1992,Mining & petroleum development,Both sexes,15 to 24 years,8.0
1992,Mining & petroleum development,Both sexes,15 years and over,76.6
1992,Mining & petroleum development,Both sexes,25 to 54 years,63.6
1992,Mining & petroleum development,Both sexes,55 years and over,5.0
1992,Mining & petroleum development,Females,15 to 24 years,2.1
1992,Mining & petroleum development,Females,15 years and over,17.6
1992,Mining & petroleum development,Females,25 to 54 years,14.7
1992,Mining & petroleum development,Females,55 years and over,0.0
1992,Mining & petroleum development,Males,15 to 24 years,5.9
1992,Mining & petroleum development,Males,15 years and over,59.0
1992,Mining & petroleum development,Males,25 to 54 years,48.8
1992,Mining & petroleum development,Males,55 years and over,4.2
1992,"Provincial & municipal government, education & health",Both sexes,15 to 24 years,32.8
1992,"Provincial & municipal government, education & health",Both sexes,15 years and over,308.7
1992,"Provincial & municipal government, education & health",Both sexes,25 to 54 years,251.0
1992,"Provincial & municipal government, education & health",Both sexes,55 years and over,25.0
1992,"Provincial & municipal government, education & health",Females,15 to 24 years,24.4
1992,"Provincial & municipal government, education & health",Females,15 years and over,205.9
1992,"Provincial & municipal government, education & health",Females,25 to 54 years,168.0
1992,"Provincial & municipal government, education & health",Females,55 years and over,13.5
1992,"Provincial & municipal government, education & health",Males,15 to 24 years,8.5
1992,"Provincial & municipal government, education & health",Males,15 years and over,102.7
1992,"Provincial & municipal government, education & health",Males,25 to 54 years,82.80000000000001
1992,"Provincial & municipal government, education & health",Males,55 years and over,11.4
1992,"Transportation, communication & utilities",Both sexes,15 to 24 years,6.3
1992,"Transportation, communication & utilities",Both sexes,15 years and over,79.7
1992,"Transportation, communication & utilities",Both sexes,25 to 54 years,65.4
1992,"Transportation, communication & utilities",Both sexes,55 years and over,7.0
1992,"Transportation, communication & utilities",Females,15 to 24 years,0.0
1992,"Transportation, communication & utilities",Females,15 years and over,17.0
1992,"Transportation, communication & utilities",Females,25 to 54 years,14.0
1992,"Transportation, communication & utilities",Females,55 years and over,0.0
1992,"Transportation, communication & utilities",Males,15 to 24 years,4.9
1992,"Transportation, communication & utilities",Males,15 years and over,62.7
1992,"Transportation, communication & utilities",Males,25 to 54 years,51.4
1992,"Transportation, communication & utilities",Males,55 years and over,4.3
1992,Wholesale and retail,Both sexes,15 to 24 years,62.7
1992,Wholesale and retail,Both sexes,15 years and over,217.9
1992,Wholesale and retail,Both sexes,25 to 54 years,138.0
1992,Wholesale and retail,Both sexes,55 years and over,17.2
1992,Wholesale and retail,Females,15 to 24 years,30.5
1992,Wholesale and retail,Females,15 years and over,103.7
1992,Wholesale and retail,Females,25 to 54 years,64.8
1992,Wholesale and retail,Females,55 years and over,8.4
1992,Wholesale and retail,Males,15 to 24 years,32.2
1992,Wholesale and retail,Males,15 years and over,114.2
1992,Wholesale and retail,Males,25 to 54 years,73.2
1992,Wholesale and retail,Males,55 years and over,8.8
1993,Agriculture & forestry,Both sexes,15 to 24 years,13.8
1993,Agriculture & forestry,Both sexes,15 years and over,98.39999999999999
1993,Agriculture & forestry,Both sexes,25 to 54 years,55.8
1993,Agriculture & forestry,Both sexes,55 years and over,27.5
1993,Agriculture & forestry,Females,15 to 24 years,3.6
1993,Agriculture & forestry,Females,15 years and over,30.8
1993,Agriculture & forestry,Females,25 to 54 years,19.5
1993,Agriculture & forestry,Females,55 years and over,7.6
1993,Agriculture & forestry,Males,15 to 24 years,10.2
1993,Agriculture & forestry,Males,15 years and over,67.2
1993,Agriculture & forestry,Males,25 to 54 years,36.0
1993,Agriculture & forestry,Males,55 years and over,19.8
1993,Business & professional services,Both sexes,15 to 24 years,98.10000000000001
1993,Business & professional services,Both sexes,15 years and over,406.5
1993,Business & professional services,Both sexes,25 to 54 years,278.4
1993,Business & professional services,Both sexes,55 years and over,29.9
1993,Business & professional services,Females,15 to 24 years,52.0
1993,Business & professional services,Females,15 years and over,212.3
1993,Business & professional services,Females,25 to 54 years,147.4
1993,Business & professional services,Females,55 years and over,12.8
1993,Business & professional services,Males,15 to 24 years,46.4
1993,Business & professional services,Males,15 years and over,194.4
1993,Business & professional services,Males,25 to 54 years,130.8
1993,Business & professional services,Males,55 years and over,16.0
1993,Construction & construction trades,Both sexes,15 to 24 years,15.3
1993,Construction & construction trades,Both sexes,15 years and over,97.0
1993,Construction & construction trades,Both sexes,25 to 54 years,72.9
1993,Construction & construction trades,Both sexes,55 years and over,8.8
1993,Construction & construction trades,Females,15 to 24 years,0.0
1993,Construction & construction trades,Females,15 years and over,10.0
1993,Construction & construction trades,Females,25 to 54 years,8.0
1993,Construction & construction trades,Females,55 years and over,0.0
1993,Construction & construction trades,Males,15 to 24 years,13.9
1993,Construction & construction trades,Males,15 years and over,87.0
1993,Construction & construction trades,Males,25 to 54 years,65.0
1993,Construction & construction trades,Males,55 years and over,8.1
1993,"Manufacturing, packaging & processing",Both sexes,15 to 24 years,14.2
1993,"Manufacturing, packaging & processing",Both sexes,15 years and over,101.4
1993,"Manufacturing, packaging & processing",Both sexes,25 to 54 years,81.3
1993,"Manufacturing, packaging & processing",Both sexes,55 years and over,5.8
1993,"Manufacturing, packaging & processing",Females,15 to 24 years,2.6
1993,"Manufacturing, packaging & processing",Females,15 years and over,23.2
1993,"Manufacturing, packaging & processing",Females,25 to 54 years,19.6
1993,"Manufacturing, packaging & processing",Females,55 years and over,0.0
1993,"Manufacturing, packaging & processing",Males,15 to 24 years,11.6
1993,"Manufacturing, packaging & processing",Males,15 years and over,78.2
1993,"Manufacturing, packaging & processing",Males,25 to 54 years,61.8
1993,"Manufacturing, packaging & processing",Males,55 years and over,4.9
1993,Mining & petroleum development,Both sexes,15 to 24 years,9.1
1993,Mining & petroleum development,Both sexes,15 years and over,79.0
1993,Mining & petroleum development,Both sexes,25 to 54 years,64.6
1993,Mining & petroleum development,Both sexes,55 years and over,5.3
